time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,0.000000,0.000002,0.000000
0.015000,0.000000,0.000000,0.000005,0.000000
0.020000,0.000000,0.000000,0.000012,0.000000
0.025000,0.000000,0.000000,0.000019,0.000000
0.030000,0.000000,0.000000,0.000020,0.000000
0.035000,0.000000,0.000000,0.000011,0.000000
0.040000,0.000000,0.000000,-0.000015,0.000000
0.045000,0.000000,0.000000,-0.000061,0.000000
0.050000,-0.000000,0.000000,-0.000126,0.000000
0.055000,-0.000001,0.000000,-0.000208,0.000000
0.060000,-0.000003,0.000000,-0.000304,0.000000
0.065000,-0.000004,0.000000,-0.000410,0.000000
0.070000,-0.000007,0.000000,-0.000520,0.000000
0.075000,-0.000010,0.000000,-0.000625,0.000000
0.080000,-0.000013,0.000000,-0.000721,0.000000
0.085000,-0.000017,0.000000,-0.000806,0.000000
0.090000,-0.000021,0.000000,-0.000878,0.000000
0.095000,-0.000026,0.000000,-0.000940,0.000000
0.100000,-0.000031,0.000000,-0.000994,0.000000
0.105000,-0.000036,0.000000,-0.001042,0.000000
0.110000,-0.000041,0.000000,-0.001083,0.000000
0.115000,-0.000047,0.000000,-0.001116,0.000000
0.120000,-0.000052,0.000000,-0.001142,0.000000
0.125000,-0.000058,0.000000,-0.001159,0.000000
0.130000,-0.000064,0.000000,-0.001169,0.000000
0.135000,-0.000070,0.000000,-0.001171,0.000000
0.140000,-0.000076,0.000000,-0.001164,0.000000
0.145000,-0.000081,0.000000,-0.001149,0.000000
0.150000,-0.000087,0.000000,-0.001125,0.000000
0.155000,-0.000093,0.000000,-0.001093,0.000000
0.160000,-0.000098,0.000000,-0.001053,0.000000
0.165000,-0.000103,0.000000,-0.001004,0.000000
0.170000,-0.000108,0.000000,-0.000944,0.000000
0.175000,-0.000112,0.000000,-0.000874,0.000000
0.180000,-0.000117,0.000000,-0.000796,0.000000
0.185000,-0.000120,0.000000,-0.000716,0.000000
0.190000,-0.000124,0.000000,-0.000637,0.000000
0.195000,-0.000127,0.000000,-0.000557,0.000000
0.200000,-0.000129,0.000000,-0.000478,0.000000
0.205000,-0.000131,0.000000,-0.000404,0.000000
0.210000,-0.000133,0.000000,-0.000338,0.000000
0.215000,-0.000135,0.000000,-0.000282,0.000000
0.220000,-0.000136,0.000000,-0.000237,0.000000
0.225000,-0.000137,0.000000,-0.000204,0.000000
0.230000,-0.000138,0.000000,-0.000183,0.000000
0.235000,-0.000139,0.000000,-0.000172,0.000000
0.240000,-0.000140,0.000000,-0.000172,0.000000
0.245000,-0.000141,0.000000,-0.000179,0.000000
0.250000,-0.000141,0.000000,-0.000189,0.000000
0.255000,-0.000142,0.000000,-0.000198,0.000000
0.260000,-0.000143,0.000000,-0.000201,0.000000
0.265000,-0.000144,0.000000,-0.000194,0.000000
0.270000,-0.000145,0.000000,-0.000180,0.000000
0.275000,-0.000146,0.000000,-0.000157,0.000000
0.280000,-0.000147,0.000000,-0.000129,0.000000
0.285000,-0.000147,0.000000,-0.000096,0.000000
0.290000,-0.000148,0.000000,-0.000064,0.000000
0.295000,-0.000148,0.000000,-0.000039,0.000000
0.300000,-0.000148,0.000000,-0.000023,0.000000
0.305000,-0.000148,0.000000,-0.000016,0.000000
0.310000,-0.000148,0.000000,-0.000017,0.000000
0.314999,-0.000148,0.000000,-0.000025,0.000000
0.319999,-0.000149,0.000000,-0.000042,0.000000
0.324999,-0.000149,0.000000,-0.000068,0.000000
0.329999,-0.000149,0.000000,-0.000104,0.000000
0.334999,-0.000150,0.000000,-0.000149,0.000000
0.339999,-0.000151,0.000000,-0.000200,0.000000
0.344999,-0.000152,0.000000,-0.000259,0.000000
0.349999,-0.000154,0.000000,-0.000326,0.000000
0.354999,-0.000155,0.000000,-0.000397,0.000000
0.359999,-0.000158,0.000000,-0.000471,0.000000
0.364999,-0.000160,0.000000,-0.000545,0.000000
0.369999,-0.000163,0.000000,-0.000614,0.000000
0.374999,-0.000166,0.000000,-0.000674,0.000000
0.379999,-0.000170,0.000000,-0.000721,0.000000
0.384999,-0.000174,0.000000,-0.000756,0.000000
0.389999,-0.000178,0.000000,-0.000779,0.000000
0.394998,-0.000181,0.000000,-0.000792,0.000000
0.399998,-0.000185,0.000000,-0.000798,0.000000
0.404998,-0.000189,0.000000,-0.000796,0.000000
0.409998,-0.000193,0.000000,-0.000785,0.000000
0.414998,-0.000197,0.000000,-0.000766,0.000000
0.419998,-0.000201,0.000000,-0.000739,0.000000
0.424998,-0.000205,0.000000,-0.000703,0.000000
0.429998,-0.000208,0.000000,-0.000660,0.000000
0.434998,-0.000211,0.000000,-0.000609,0.000000
0.439998,-0.000214,0.000000,-0.000552,0.000000
0.444998,-0.000217,0.000000,-0.000486,0.000000
0.449998,-0.000219,0.000000,-0.000411,0.000000
0.454998,-0.000221,0.000000,-0.000327,0.000000
0.459998,-0.000222,0.000000,-0.000238,0.000000
0.464998,-0.000223,0.000000,-0.000145,0.000000
0.469997,-0.000223,0.000000,-0.000054,0.000000
0.474997,-0.000223,0.000000,0.000032,0.000000
0.479997,-0.000223,0.000000,0.000108,0.000000
0.484997,-0.000222,0.000000,0.000171,0.000000
0.489997,-0.000221,0.000000,0.000218,0.000000
0.494997,-0.000220,0.000000,0.000250,0.000000
0.499997,-0.000219,0.000000,0.000273,0.000000
0.504997,-0.000217,0.000000,0.000291,0.000000
0.509997,-0.000216,0.000000,0.000309,0.000000
0.514997,-0.000214,0.000000,0.000331,0.000000
0.519997,-0.000212,0.000000,0.000360,0.000000
0.524997,-0.000210,0.000000,0.000397,0.000000
0.529997,-0.000208,0.000000,0.000446,0.000000
0.534997,-0.000206,0.000000,0.000508,0.000000
0.539997,-0.000203,0.000000,0.000585,0.000000
0.544997,-0.000200,0.000000,0.000676,0.000000
0.549996,-0.000196,0.000000,0.000784,0.000000
0.554996,-0.000192,0.000000,0.000905,0.000000
0.559996,-0.000187,0.000000,0.001035,0.000000
0.564996,-0.000182,0.000000,0.001167,0.000000
0.569996,-0.000175,0.000000,0.001291,0.000000
0.574996,-0.000169,0.000000,0.001402,0.000000
0.579996,-0.000161,0.000000,0.001494,0.000000
0.584996,-0.000154,0.000000,0.001561,0.000000
0.589996,-0.000146,0.000000,0.001602,0.000000
0.594996,-0.000138,0.000000,0.001616,0.000000
0.599996,-0.000129,0.000000,0.001601,0.000000
0.604996,-0.000122,0.000000,0.001559,0.000000
0.609996,-0.000114,0.000000,0.001494,0.000000
0.614996,-0.000107,0.000000,0.001416,0.000000
0.619996,-0.000100,0.000000,0.001331,0.000000
0.624996,-0.000094,0.000000,0.001245,0.000000
0.629995,-0.000088,0.000000,0.001162,0.000000
0.634995,-0.000082,0.000000,0.001085,0.000000
0.639995,-0.000077,0.000000,0.001016,0.000000
0.644995,-0.000072,0.000000,0.000960,0.000000
0.649995,-0.000067,0.000000,0.000918,0.000000
0.654995,-0.000063,0.000000,0.000888,0.000000
0.659995,-0.000058,0.000000,0.000867,0.000000
0.664995,-0.000054,0.000000,0.000851,0.000000
0.669995,-0.000050,0.000000,0.000836,0.000000
0.674995,-0.000046,0.000000,0.000824,0.000000
0.679995,-0.000042,0.000000,0.000818,0.000000
0.684995,-0.000037,0.000000,0.000823,0.000000
0.689995,-0.000033,0.000000,0.000837,0.000000
0.694995,-0.000029,0.000000,0.000859,0.000000
0.699995,-0.000025,0.000000,0.000887,0.000000
0.704994,-0.000020,0.000000,0.000917,0.000000
0.709994,-0.000016,0.000000,0.000945,0.000000
0.714994,-0.000011,0.000000,0.000972,0.000000
0.719994,-0.000006,0.000000,0.000997,0.000000
0.724994,-0.000001,0.000000,0.001015,0.000000
0.729994,0.000004,0.000000,0.001021,0.000000
0.734994,0.000009,0.000000,0.001007,0.000000
0.739994,0.000014,0.000000,0.000972,0.000000
0.744994,0.000019,0.000000,0.000913,0.000000
0.749994,0.000023,0.000000,0.000831,0.000000
