time, Quad.Est.E.Pos, Quad.Est.S.Z
0.005000,0.000000,0.300000
0.010000,0.000003,0.300000
0.015000,0.000009,0.300000
0.020000,0.000016,0.300000
0.025000,0.000031,0.300000
0.030000,0.000046,0.300000
0.035000,0.000080,0.300000
0.040000,0.000107,0.300000
0.045000,0.000154,0.300000
0.050000,0.000190,0.300000
0.055000,0.000251,0.300000
0.060000,0.000295,0.300000
0.065000,0.000367,0.300000
0.070000,0.000417,0.300000
0.075000,0.000493,0.300000
0.080000,0.000545,0.300000
0.085000,0.000627,0.300000
0.090000,0.000684,0.300000
0.095000,0.000772,0.300000
0.100000,0.000834,0.300000
0.105000,0.000933,0.300000
0.110000,0.001004,0.300000
0.115000,0.001118,0.300000
0.120000,0.001199,0.300000
0.125000,0.001328,0.300000
0.130000,0.001420,0.300000
0.135000,0.001565,0.300000
0.140000,0.001668,0.300000
0.145000,0.001828,0.300000
0.150000,0.001938,0.300000
0.155000,0.002108,0.300000
0.160000,0.002225,0.300000
0.165000,0.002404,0.300000
0.170000,0.002525,0.300000
0.175000,0.002706,0.300000
0.180000,0.002827,0.300000
0.185000,0.003009,0.300000
0.190000,0.003129,0.300000
0.195000,0.003302,0.300000
0.200000,0.003417,0.300000
0.205000,0.003590,0.300000
0.210000,0.003705,0.300000
0.215000,0.003875,0.300000
0.220000,0.003987,0.300000
0.225000,0.004153,0.300000
0.230000,0.004265,0.300000
0.235000,0.004438,0.300000
0.240000,0.004556,0.300000
0.245000,0.004734,0.300000
0.250000,0.004852,0.300000
0.255000,0.005028,0.300000
0.260000,0.005145,0.300000
0.265000,0.005320,0.300000
0.270000,0.005437,0.300000
0.275000,0.005614,0.300000
0.280000,0.005734,0.300000
0.285000,0.005914,0.300000
0.290000,0.006035,0.300000
0.295000,0.006218,0.300000
0.300000,0.006340,0.300000
0.305000,0.006522,0.300000
0.310000,0.006644,0.300000
0.314999,0.006825,0.300000
0.319999,0.006944,0.300000
